model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,2,0,-0.0095,-0.0095,0.0,0.0168,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,3,0,-0.0095,-0.0095,0.0,0.0168,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,5,0,-0.0095,-0.0095,0.0,0.0168,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,8,0,-0.0095,-0.0095,0.0,0.0168,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,16,0,-0.0095,0.0121,0.0216,0.0123,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,2,1,0.0445,0.0445,0.0,-0.0206,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,3,1,0.0445,0.0839,0.0395,-0.0143,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,5,1,0.0445,0.0722,0.0277,-0.0058,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,8,1,0.0445,0.0839,0.0395,-0.0143,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,16,1,0.0445,0.0445,0.0,-0.0143,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,2,2,0.0225,0.0225,0.0,-0.0313,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,3,2,0.0225,0.0523,0.0297,-0.0276,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,5,2,0.0225,0.0523,0.0297,-0.0276,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,8,2,0.0225,0.0554,0.0328,-0.0238,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,16,2,0.0225,0.0225,0.0,-0.0313,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,2,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,3,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,5,3,0.0242,0.0464,0.0222,0.0376,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,8,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,16,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,2,4,0.0291,0.0291,0.0,-0.0175,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,3,4,0.0291,0.0291,0.0,-0.0175,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,5,4,0.0291,0.0291,0.0,-0.0183,42,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,8,4,0.0291,0.0291,0.0,-0.0175,42,18
